"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","35.912","33.105","37.405","33.075","1.08M","8.24%"
"05/01/2025","33.179","32.810","33.915","31.780","903.42K","1.07%"
"04/01/2025","32.828","34.890","35.295","28.210","124.95K","-5.62%"
"03/01/2025","34.784","31.715","35.640","31.635","1.05M","10.44%"
"02/01/2025","31.496","32.560","34.340","31.365","127.91K","-2.38%"
"01/01/2025","32.265","29.190","32.920","29.190","139.92K","10.88%"
"12/01/2024","29.098","30.740","32.975","28.890","11.66K","-5.63%"
"11/01/2024","30.835","32.795","33.250","29.750","1.24M","-5.98%"
"10/01/2024","32.796","31.330","34.900","30.310","174.04K","4.25%"
"09/01/2024","31.458","28.650","32.855","27.960","135.06K","8.98%"
"08/01/2024","28.865","29.165","30.225","26.505","1.40M","-0.25%"
"07/01/2024","28.938","29.285","31.770","27.375","130.42K","-1.53%"
"06/01/2024","29.388","30.625","31.670","28.580","1.50M","-3.46%"
"05/01/2024","30.440","26.405","32.570","26.150","244.16K","14.73%"
"04/01/2024","26.532","25.140","29.905","24.855","2.22M","5.95%"
"03/01/2024","25.042","22.885","25.975","22.710","1.30M","9.43%"
"02/01/2024","22.885","23.435","23.630","22.120","103.24K","-1.71%"
"01/01/2024","23.282","24.045","24.335","22.040","1.10M","-3.34%"
"12/01/2023","24.086","25.525","26.050","22.700","85.51K","-4.77%"
"11/01/2023","25.293","22.955","25.325","21.925","1.24M","10.20%"
"10/01/2023","22.952","22.410","23.880","20.850","1.33M","2.24%"
"09/01/2023","22.450","24.820","25.220","22.325","1.12M","-9.52%"
"08/01/2023","24.812","25.250","25.425","22.585","527.83K","-2.06%"
"07/01/2023","25.335","23.290","25.820","23.060","45.96K","8.56%"
"06/01/2023","23.337","24.180","25.140","22.665","18.20K","-3.31%"
"05/01/2023","24.135","25.930","26.940","23.340","16.35K","-6.36%"
"04/01/2023","25.773","24.965","26.920","24.445","13.36K","3.71%"
"03/01/2023","24.851","21.900","24.975","20.615","8.16K","14.42%"
"02/01/2023","21.720","24.565","25.650","21.200","6.81K","-12.21%"
"01/01/2023","24.742","25.150","25.585","23.795","1.72K","-0.56%"
"12/01/2022","24.881","23.540","25.250","23.155","0.73K","10.08%"
"11/01/2022","22.603","19.945","23.150","19.945","0.87K","13.18%"
"10/01/2022","19.970","21.890","21.890","18.920","0.20K","1.35%"
"09/01/2022","19.704","18.250","19.880","18.250","0.13K","5.61%"
"08/01/2022","18.657","21.175","21.540","18.860","0.04K","-11.43%"
"07/01/2022","21.064","20.700","20.845","19.100","0.05K","-1.12%"
"06/01/2022","21.303","22.660","23.050","21.260","0.06K","-6.50%"
"05/01/2022","22.785","21.800","23.325","21.800","0.01K","-5.31%"
"04/01/2022","24.063","26.200","26.200","25.440","0.02K","-7.85%"
"03/01/2022","26.112","26.810","26.810","26.150","0.01K","4.09%"
"02/01/2022","25.087","22.750","25.680","22.050","0.00K","9.11%"
"01/01/2022","22.992","23.770","24.100","23.300","0.01K","-3.76%"
"12/01/2021","23.890","23.050","23.050","23.050","0.01K","2.43%"
"11/01/2021","23.324","24.190","25.700","23.530","0.19K","-4.30%"
"10/01/2021","24.373","22.610","24.280","22.610","0.01K","8.40%"
"09/01/2021","22.484","23.100","23.100","22.550","0.01K","-8.31%"
"08/01/2021","24.523","24.000","24.000","23.680","0.01K","-6.18%"
"07/01/2021","26.137","26.250","26.910","24.515","1.09M","-4.46%"
"06/01/2021","27.356","28.005","28.005","28.005","0.00K","-6.72%"
"05/01/2021","29.326","25.990","28.900","25.850","1.29M","7.72%"
"04/01/2021","27.225","27.400","27.400","27.400","0.00K","4.85%"
"03/01/2021","25.965","28.030","28.030","25.950","0.01K","-6.81%"
"02/01/2021","27.862","28.000","28.090","27.785","0.01K","0.63%"
"01/01/2021","27.688","27.200","27.200","27.200","0.00K","1.69%"
"12/01/2020","27.228","22.690","27.475","22.690","89.12K","16.04%"
"11/01/2020","23.464","23.710","26.130","22.230","3.60K","-5.24%"
"10/01/2020","24.761","23.355","25.710","22.865","1.37M","0.67%"
"09/01/2020","24.595","27.735","27.735","27.735","0.00K","-17.31%"
"08/01/2020","29.744","24.480","29.970","23.665","5.64K","15.42%"
"07/01/2020","25.770","18.580","26.275","17.995","2.15M","30.46%"
"06/01/2020","19.753","18.740","18.885","17.125","128.30K","1.44%"
"05/01/2020","19.473","15.075","18.500","14.760","985.35K","22.06%"
"04/01/2020","15.953","14.175","16.350","14.175","110.21K","6.24%"
"03/01/2020","15.016","16.500","17.615","11.640","1.92M","-14.54%"
"02/01/2020","17.570","18.135","18.960","16.400","350.83K","-8.60%"
"01/01/2020","19.224","17.905","18.895","17.280","1.73M","0.35%"
"12/01/2019","19.156","17.025","18.200","16.550","126.27K","4.23%"
"11/01/2019","18.378","18.115","18.210","16.680","4.94K","-5.52%"
"10/01/2019","19.451","17.045","18.350","16.940","1.54M","5.74%"
"09/01/2019","18.395","18.415","18.415","18.245","0.00K","-5.99%"
"08/01/2019","19.567","19.255","20.210","19.255","0.01K","9.61%"
"07/01/2019","17.852","15.315","16.685","14.915","1.79M","6.64%"
"06/01/2019","16.741","16.800","16.800","16.800","0.00K","3.42%"
"05/01/2019","16.187","14.975","14.995","14.265","1.22M","-3.97%"
"04/01/2019","16.857","15.175","15.300","14.735","130.02K","-1.02%"
"03/01/2019","17.031","15.630","15.665","14.985","1.17M","-3.83%"
"02/01/2019","17.710","15.830","16.220","15.510","137.05K","-2.86%"
"01/01/2019","18.231","15.550","16.080","15.195","1.26M","3.01%"
"12/01/2018","17.699","14.400","15.575","14.390","115.69K","24.82%"
"11/01/2018","14.180","14.305","14.955","13.925","6.02K","-1.01%"
"10/01/2018","14.324","14.725","14.950","14.255","1.56M","-2.64%"
"09/01/2018","14.712","14.480","14.755","14.035","205.68K","1.34%"
"08/01/2018","14.517","15.585","15.585","14.380","3.11K","-6.92%"
"07/01/2018","15.597","16.145","16.260","15.185","1.36M","-3.71%"
"06/01/2018","16.198","16.535","17.360","15.965","183.37K","-1.85%"
"05/01/2018","16.503","16.345","16.865","16.070","1.45M","0.62%"
"04/01/2018","16.401","16.700","17.385","16.225","141.22K","0.55%"
"03/01/2018","16.312","16.430","16.895","16.100","1.51M","-0.58%"
"02/01/2018","16.407","17.365","17.365","16.200","163.39K","-5.07%"
"01/01/2018","17.284","17.035","17.705","16.735","1.87M","0.81%"
"12/01/2017","17.145","16.345","17.175","15.630","138.76K","4.26%"
"11/01/2017","16.445","16.735","17.410","16.255","5.01K","-1.68%"
"10/01/2017","16.726","16.670","17.495","16.345","1.60M","0.30%"
"09/01/2017","16.676","17.560","18.225","16.640","140.70K","-4.93%"
"08/01/2017","17.541","16.625","17.675","16.200","2.39K","4.19%"
"07/01/2017","16.835","16.635","16.845","15.145","1.62M","1.25%"
"06/01/2017","16.627","17.220","17.725","16.280","171.02K","-4.68%"
"05/01/2017","17.443","17.240","17.380","16.060","1.59M","1.05%"
"04/01/2017","17.262","18.240","18.685","17.185","167.85K","-5.64%"
"03/01/2017","18.294","18.360","18.510","16.825","1.26M","-0.95%"
"02/01/2017","18.469","17.625","18.540","17.345","137.85K","5.07%"
"01/01/2017","17.577","15.970","17.650","15.935","1.17M","9.93%"
"12/01/2016","15.989","16.430","17.250","15.695","87.26K","-2.83%"
"11/01/2016","16.454","17.945","19.035","16.210","11.36K","-7.74%"
"10/01/2016","17.835","19.260","19.385","17.115","1.09M","-7.18%"
"09/01/2016","19.214","18.905","20.100","18.730","126.75K","2.89%"
"08/01/2016","18.675","20.630","20.770","18.440","1.63K","-8.42%"
"07/01/2016","20.393","18.815","21.225","18.795","1.23M","9.50%"
"06/01/2016","18.623","16.025","18.900","15.980","149.26K","16.26%"
"05/01/2016","16.018","17.920","18.060","16.085","976.41K","-10.11%"
"04/01/2016","17.819","15.245","18.020","14.810","142.87K","15.09%"
"03/01/2016","15.483","14.915","16.170","14.745","1.01M","3.79%"
"02/01/2016","14.918","14.320","15.920","14.320","127.71K","4.65%"
"01/01/2016","14.255","13.815","14.585","13.730","780.44K","3.27%"
"12/01/2015","13.803","14.010","14.550","13.660","41.87K","-1.91%"
"11/01/2015","14.072","15.495","15.495","13.875","6.56K","-9.70%"
"10/01/2015","15.584","14.500","16.370","14.360","904.37K","7.34%"
"09/01/2015","14.518","14.580","15.220","14.300","70.52K","-0.43%"
"08/01/2015","14.581","14.755","15.545","13.980","0.58K","-1.25%"
"07/01/2015","14.765","15.615","15.900","14.330","796.93K","-5.24%"
"06/01/2015","15.581","16.785","17.185","15.435","112.79K","-6.82%"
